Date,Goods,Services,Total_Spending, Goods_Change_yoy,Services_Change_yoy,Spending_Change_yoy,Personal_Income,Unemployment ,Cumulative Cases,Cumulative Deaths,New_Cases,New_Deaths
7/1/11,3516.2,7215.4,10731.6,0.067553208,0.03454011,0.045129623,13398.4,0.09,0,0,0,0
8/1/11,3519.1,7231.2,10750.3,0.061280497,0.034328871,0.042999486,13420.6,0.09,0,0,0,0
9/1/11,3548,7235.2,10783.2,0.063612926,0.034886216,0.044165351,13422.3,0.09,0,0,0,0
10/1/11,3561.3,7241.6,10802.9,0.054543839,0.033141683,0.040100516,13430.4,0.088,0,0,0,0
11/1/11,3562.6,7244.2,10806.8,0.047546238,0.030073798,0.035769054,13447.9,0.086,0,0,0,0
12/1/11,3559.8,7258.1,10817.9,0.041333918,0.029152783,0.033129596,13582.4,0.085,0,0,0,0
1/1/12,3600.4,7296.4,10896.8,0.04347322,0.032928452,0.036388884,13683.6,0.083,0,0,0,0
2/1/12,3647.2,7340,10987.2,0.054957769,0.036225541,0.042369505,13798.1,0.083,0,0,0,0
3/1/12,3638.5,7355.4,10993.9,0.03971996,0.033018272,0.035226652,13877.1,0.082,0,0,0,0
4/1/12,3638,7380.5,11018.5,0.033141169,0.035017109,0.034396973,13954.9,0.082,0,0,0,0
5/1/12,3620,7386.8,11006.8,0.032427345,0.030826554,0.031352486,13944.6,0.082,0,0,0,0
6/1/12,3591.1,7398.8,10989.9,0.021417601,0.030617078,0.027592849,13938.1,0.082,0,0,0,0
7/1/12,3595,7421.8,11016.8,0.022410557,0.028605483,0.02657572,13859.9,0.082,0,0,0,0
8/1/12,3636.9,7419.1,11056,0.033474468,0.025984622,0.028436416,13879.8,0.081,0,0,0,0
9/1/12,3663.5,7441.8,11105.3,0.032553551,0.028554843,0.029870539,14028.2,0.078,0,0,0,0
10/1/12,3665.6,7471.9,11137.5,0.029287058,0.031802364,0.030973165,14164.6,0.078,0,0,0,0
11/1/12,3679.3,7499.1,11178.4,0.032756975,0.03518677,0.034385757,14346.4,0.077,0,0,0,0
12/1/12,3677.3,7503.9,11181.2,0.033007472,0.033865612,0.033583228,14696.7,0.079,0,0,0,0
1/1/13,3733.9,7511.9,11245.8,0.037079213,0.029535113,0.032027751,13996.7,0.08,0,0,0,0
2/1/13,3750.8,7531.4,11282.2,0.028405352,0.026076294,0.026849425,14015.4,0.077,0,0,0,0
3/1/13,3710.2,7558.7,11268.9,0.019705923,0.027639557,0.025013871,14046.4,0.075,0,0,0,0
4/1/13,3686.6,7572.7,11259.3,0.013358988,0.026041596,0.021854154,14089.6,0.076,0,0,0,0
